7183.1pg.1:NCBIm38:12:113572927:113573222:-1	VH
Q52.1pg.2:NCBIm38:12:113574241:113574540:-1	VH
7183.2.3:NCBIm38:12:113578504:113578799:-1	VH
Q52.2.4:NCBIm38:12:113588265:113588559:-1	VH
7183.3pg.5:NCBIm38:12:113589950:113590231:-1	VH
7183.4.6:NCBIm38:12:113597446:113597741:-1	VH
7183.5pg.7:NCBIm38:12:113603460:113603753:-1	VH
Q52.3.8:NCBIm38:12:113611184:113611476:-1	VH
7183.6pg.9:NCBIm38:12:113612967:113613260:-1	VH
7183.7.10:NCBIm38:12:113625506:113625801:-1	VH
VH7183.a8psi.11:NCBIm38:12:113634688:113634981:-1	VH
Q52.4pg.12:NCBIm38:12:113647476:113647765:-1	VH
Q52.5.13:NCBIm38:12:113653291:113653583:-1	VH
7183.8pg.14:NCBIm38:12:113654952:113655243:-1	VH
7183.9.15:NCBIm38:12:113661769:113662064:-1	VH
7183.10pg.16:NCBIm38:12:113669675:113669968:-1	VH
Q52.6pg.17:NCBIm38:12:113682464:113682753:-1	VH
Q52.7.18:NCBIm38:12:113685482:113685774:-1	VH
7183.11pg.19:NCBIm38:12:113687212:113687493:-1	VH
7183.12.20:NCBIm38:12:113702124:113702419:-1	VH
PG.2.21:NCBIm38:12:113714608:113714894:-1	VH
Q52.8.22:NCBIm38:12:113716670:113716962:-1	VH
7183.13pg.24:NCBIm38:12:113724756:113725040:-1	VH
7183.14.25:NCBIm38:12:113736111:113736406:-1	VH
7183.15pg.26:NCBIm38:12:113745426:113745713:-1	VH
7183.16.27:NCBIm38:12:113762249:113762544:-1	VH
Q52.9.29:NCBIm38:12:113769850:113770142:-1	VH
7183.17pg.31:NCBIm38:12:113781382:113781665:-1	VH
PG.6.32:NCBIm38:12:113794061:113794358:-1	VH
Q52.10.33:NCBIm38:12:113796138:113796430:-1	VH
VH7183.a45psi.73:NCBIm38:12:113803009:113803312:-1	VH
Q52.11.34:NCBIm38:12:113807314:113807606:-1	VH
7183.18.35:NCBIm38:12:113826646:113826941:-1	VH
7183.19.36:NCBIm38:12:113838526:113838821:-1	VH
7183.20.37:NCBIm38:12:113859149:113859442:-1	VH
7183.21pg.38:NCBIm38:12:113875772:113876064:-1	VH
Q52.12pg.39:NCBIm38:12:113877359:113877650:-1	VH
Q52.13.40:NCBIm38:12:113879096:113879388:-1	VH
PG.7.41:NCBIm38:12:113884764:113885048:-1	VH
S107.1.42:NCBIm38:12:113896408:113896713:-1	VH
S107.2pg.43:NCBIm38:12:113912027:113912330:-1	VH
SM7.1.44:NCBIm38:12:113931953:113932246:-1	VH
X24.1pg.45:NCBIm38:12:113948282:113948577:-1	VH
36-60.1.46:NCBIm38:12:113964388:113964683:-1	VH
PG.8.47:NCBIm38:12:113968536:113968840:-1	VH
VH11.1.48:NCBIm38:12:113981879:113982174:-1	VH
SM7.2.49:NCBIm38:12:113994469:113994762:-1	VH
X24.2.50:NCBIm38:12:114013144:114013439:-1	VH
36-60.2pg.51:NCBIm38:12:114033803:114034097:-1	VH
PG.9.52:NCBIm38:12:114037938:114038245:-1	VH
VH11.2.53:NCBIm38:12:114048241:114048536:-1	VH
SM7.3.54:NCBIm38:12:114059845:114060138:-1	VH
VH16.1.55:NCBIm38:12:114068828:114069126:-1	VH
VH3609N.a1psi.95:NCBIm38:12:114089391:114089681:-1	VH
VGAM3.8-1-57:NCBIm38:12:114093928:114094221:-1	VH
PG.11.58:NCBIm38:12:114107259:114107563:-1	VH
VGAM3.8-2-59:NCBIm38:12:114109001:114109294:-1	VH
PG.12.60:NCBIm38:12:114127539:114127837:-1	VH
VGAM3.8-3-61:NCBIm38:12:114140692:114140985:-1	VH
S107.3.62:NCBIm38:12:114153180:114153483:-1	VH
VH15.a1psi.107:NCBIm38:12:114158067:114158309:-1	VH
SM7.4.63:NCBIm38:12:114176438:114176731:-1	VH
36-60.3.64:NCBIm38:12:114196439:114196734:-1	VH
S107.4.65:NCBIm38:12:114222786:114223093:-1	VH
36-60.4.66:NCBIm38:12:114253617:114253915:-1	VH
36-60.5.67:NCBIm38:12:114262652:114262950:-1	VH
